epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.124,1.49207,4.41518,1.77807,0.26281,0.2,0.12975,0.06247,1.29839,4.18132,1.69021,8.574e-05,8.574e-05,8.574e-05
2,12.9535,1.22958,2.46388,1.50812,0.82774,0.54167,0.64516,0.44835,1.09332,3.39556,1.26009,0.000182705,0.000182705,0.000182705
3,15.7368,1.16006,1.64918,1.42546,0.87107,0.75093,0.82353,0.54722,1.13924,2.25504,1.25058,0.000276369,0.000276369,0.000276369
4,19.4036,1.17435,1.43066,1.32938,0.81572,0.80685,0.83854,0.58962,1.15031,1.89797,1.34604,0.000366731,0.000366731,0.000366731
5,22.1688,1.12686,1.16912,1.30531,0.74467,0.58204,0.66269,0.43474,1.29393,2.89095,1.43556,0.000453793,0.000453793,0.000453793
6,24.8277,1.09074,1.08979,1.30502,0.79566,0.68333,0.75149,0.55277,1.20925,2.04229,1.34837,0.000537554,0.000537554,0.000537554
7,27.4202,1.1377,1.06912,1.29366,0.94238,0.51934,0.75536,0.4823,1.33207,2.24756,1.33715,0.000618014,0.000618014,0.000618014
8,30.1454,1.04876,0.9305,1.27278,0.5463,0.6,0.62188,0.42723,1.23228,2.03304,1.41179,0.000695173,0.000695173,0.000695173
9,33.3195,1.0968,0.97587,1.32404,0.69453,0.72619,0.78012,0.52926,1.22247,1.65947,1.39069,0.000769031,0.000769031,0.000769031
10,35.9345,1.09322,0.94812,1.30057,0.3912,0.71667,0.51908,0.37033,1.28526,3.58616,1.76413,0.000839588,0.000839588,0.000839588
11,38.5139,1.12023,0.94469,1.31465,0.8355,0.36667,0.4495,0.30341,1.66142,2.48905,2.29572,0.000906843,0.000906843,0.000906843
12,41.0747,0.97712,0.9024,1.25486,0.84755,0.28857,0.34783,0.16929,2.01904,3.6113,2.50141,0.000970798,0.000970798,0.000970798
13,44.3612,1.07,0.93034,1.30534,0.89186,0.31326,0.47292,0.24086,1.93348,3.39223,2.38537,0.00103145,0.00103145,0.00103145
14,47.0889,1.10221,0.96528,1.32061,0.2825,0.525,0.35671,0.21903,1.64474,3.29434,1.86511,0.00108881,0.00108881,0.00108881
15,49.6699,1.07896,0.8456,1.24416,0.44709,0.53333,0.50365,0.29235,1.41157,2.50904,1.68361,0.0010989,0.0010989,0.0010989
16,52.1846,1.08716,0.84574,1.27177,0.9,0.52819,0.74194,0.44265,1.35372,2.39894,1.61882,0.00107532,0.00107532,0.00107532
17,54.6447,1.08634,0.83997,1.26333,0.52778,0.60833,0.50031,0.28517,1.58208,2.11351,1.69217,0.00105174,0.00105174,0.00105174
18,58.01,1.06393,0.82577,1.25317,0.36336,0.34167,0.27499,0.14298,1.92391,2.94517,1.83897,0.00102817,0.00102817,0.00102817
19,60.5434,1.07012,0.78077,1.25193,0.53883,0.78333,0.60529,0.33911,1.4811,2.86284,1.80849,0.00100459,0.00100459,0.00100459
20,63.2761,1.01987,0.79682,1.22377,0.59482,0.81667,0.75353,0.50221,1.18987,1.76926,1.34362,0.000981008,0.000981008,0.000981008
21,65.7715,1.00913,0.74439,1.24567,0.68153,0.79995,0.74891,0.5164,1.23116,1.80585,1.35672,0.00095743,0.00095743,0.00095743
22,68.8569,0.97127,0.71728,1.21158,0.56841,0.9,0.76396,0.49839,1.20921,3.20214,1.35033,0.000933851,0.000933851,0.000933851
23,71.7031,0.96054,0.7573,1.19615,0.71191,0.57533,0.78667,0.49508,1.24023,2.23852,1.41204,0.000910273,0.000910273,0.000910273
24,74.2489,0.93852,0.70106,1.1897,0.60169,0.81667,0.75173,0.51294,1.11733,2.76587,1.39495,0.000886694,0.000886694,0.000886694
25,76.8222,0.92739,0.68864,1.18903,0.59539,0.70833,0.7556,0.50305,1.07877,3.17254,1.36364,0.000863116,0.000863116,0.000863116
26,79.4716,0.90538,0.66711,1.1756,0.72996,0.9254,0.88522,0.6011,1.0541,1.43249,1.3356,0.000839537,0.000839537,0.000839537
27,82.9406,0.90787,0.66498,1.13941,0.79456,0.825,0.85524,0.59966,1.04537,1.33554,1.22498,0.000815959,0.000815959,0.000815959
28,85.4879,0.92122,0.69241,1.15789,0.9199,0.80833,0.93556,0.62383,1.12238,1.05903,1.24618,0.00079238,0.00079238,0.00079238
29,88.1395,0.90411,0.65234,1.14707,0.82625,0.79081,0.8987,0.58719,1.06983,1.02544,1.224,0.000768802,0.000768802,0.000768802
30,90.7193,0.8815,0.64037,1.14494,0.79616,0.8035,0.89142,0.58713,1.11943,0.9492,1.2545,0.000745223,0.000745223,0.000745223
31,93.5034,0.85983,0.59837,1.11892,0.80302,0.96667,0.95092,0.6641,1.00568,0.77234,1.22739,0.000721645,0.000721645,0.000721645
32,96.6594,0.89409,0.62585,1.13193,0.91009,0.84046,0.92995,0.66829,1.02346,1.06344,1.19265,0.000698066,0.000698066,0.000698066
33,99.2529,0.88182,0.58497,1.11695,0.68565,0.81724,0.86156,0.62939,1.02467,1.37028,1.20892,0.000674488,0.000674488,0.000674488
34,101.82,0.8811,0.60954,1.13013,0.85042,0.85,0.89776,0.62661,1.00758,1.34542,1.16414,0.000650909,0.000650909,0.000650909
35,104.383,0.82,0.5846,1.10027,0.90785,0.85079,0.92674,0.65522,1.00648,0.96539,1.15475,0.000627331,0.000627331,0.000627331
36,107.601,0.81873,0.61347,1.10547,0.89238,0.93799,0.96359,0.66922,1.05387,0.87288,1.23335,0.000603752,0.000603752,0.000603752
37,110.394,0.83074,0.56612,1.11316,0.86634,0.88333,0.94332,0.64576,1.06254,0.84936,1.23978,0.000580174,0.000580174,0.000580174
38,113.06,0.7986,0.58928,1.09619,0.90222,0.86621,0.93861,0.65605,1.06393,0.73725,1.25027,0.000556595,0.000556595,0.000556595
